STATE,NAME,ASSOCIATED QUERY,OFFICE,DISTRICT,ELECTION YEAR
MI,DAYNA POLEHANKI,DAYNA POLEHANKI FOR STATE SENATE,STATE SENATE,7,2018.0
MI,BRYAN POSTHUMUS,FRIENDS OF BRYAN POSTHUMUS,STATE HOUSE,73,2020.0
MI,RANJEEV PURI,FRIENDS OF RANJEEV PURI,STATE HOUSE,21,2020.0
MI,YOUSEF RABHI,COMMITTEE TO ELECT YOUSEF RABHI,STATE HOUSE,53,2020.0
MI,JOHN P. REILLY,FRIENDS OF JOHN REILLY,STATE HOUSE,46,2020.0
MI,DAIRE L. RENDON,COMMITTEE TO ELECT DAIRE RENDON,STATE HOUSE,103,2020.0
MI,JULIE M. ROGERS,JULIE ROGERS FOR STATE REP,STATE HOUSE,60,2020.0
MI,JOHN R. ROTH,JOHN ROTH FOR STATE REP COMMITTEE,STATE HOUSE,104,2020.0
MI,JIM RUNESTAD,ELECT JIM RUNESTAD FOR STATE SENATE,STATE SENATE,15,2018.0
MI,TERRY J. SABO,COMMITTEE TO ELECT TERRY J SABO,STATE HOUSE,92,2020.0
MI,SYLVIA SANTANA,SYLVIA SANTANA FOR SENATE,STATE SENATE,3,2018.0
MI,WAYNE A. SCHMIDT,FRIENDS OF WAYNE SCHMIDT,STATE SENATE,37,2018.0
MI,ANDREA K. SCHROEDER,COMMITTEE TO ELECT ANDREA SCHROEDER,STATE HOUSE,43,2020.0
MI,HELENA SCOTT,CITIZENS TO ELECT HELENA SCOTT,STATE HOUSE,7,2020.0
MI,NATE SHANNON,FRIENDS OF NATE SHANNON,STATE HOUSE,25,2020.0
MI,MIKE SHIRKEY,COMMITTEE TO ELECT MIKE SHIRKEY,STATE SENATE,16,2018.0
MI,BRADLEY SLAGH,BRADLEY SLAGH FOR MICHIGAN,STATE HOUSE,90,2020.0
MI,TIM SNELLER,FRIENDS OF TIM SNELLER,STATE HOUSE,50,2020.0
MI,WILLIAM J. SOWERBY,BILL SOWERBY FOR STATE REPRESENTATIVE,STATE HOUSE,31,2020.0
MI,JIM STAMAS,JIM STAMAS FOR STATE SENATE,STATE SENATE,36,2018.0
MI,SAMANTHA STECKLOFF,COMMITTEE TO ELECT SAMANTHA STECKLOFF,STATE HOUSE,37,2020.0
MI,RICHARD M. STEENLAND,CTE RICHARD M. STEENLAND,STATE HOUSE,22,2020.0
MI,LORI M. STONE,COMMITTEE TO ELECT LORI STONE,STATE HOUSE,28,2020.0
MI,JOSEPH TATE,COMMITTEE TO ELECT JOSEPH TATE,STATE HOUSE,2,2020.0
MI,SHRI THANEDAR,SHRI THANEDAR FOR MICHIGAN,STATE HOUSE,3,2020.0
MI,LANA L. THEIS,THE COMMITTEE TO ELECT LANA THEIS,STATE SENATE,22,2018.0
MI,MARK TISDEL,COMMITTEE TO ELECT MARK TISDEL,STATE HOUSE,45,2020.0
MI,CURTIS VANDERWALL,CURT VANDERWALL FOR STATE SENATE,STATE SENATE,35,2018.0
MI,SCOTT A. VANSINGEL,COMMITTEE TO ELECT SCOTT VANSINGEL,STATE HOUSE,100,2020.0
MI,GREG VANWOERKOM,FRIENDS OF GREG VANWOERKOM,STATE HOUSE,91,2020.0
MI,ROGER VICTORY,ROGER VICTORY FOR STATE SENATE,STATE SENATE,30,2018.0
MI,RODNEY WAKEMAN,RODNEY WAKEMAN FOR STATE REPRESENTATIVE,STATE HOUSE,94,2020.0
MI,REGINA WEISS,COMMITTEE TO ELECT REGINA WEISS,STATE HOUSE,27,2020.0
MI,PAULINE WENDZEL,COMMITTEE TO ELECT PAULINE WENDZEL,STATE HOUSE,79,2020.0
MI,JASON WENTWORTH,COMMITTEE TO ELECT JASON WENTWORTH,STATE HOUSE,97,2020.0
MI,MARY WHITEFORD,COMMITTEE TO ELECT MARY WHITEFORD,STATE HOUSE,80,2020.0
MI,GRETCHEN E. WHITMER,GRETCHEN WHITMER FOR GOVERNOR,GOVERNOR,,2018.0
MI,KAREN WHITSETT,COMMITTEE TO ELECT KAREN WHITSETT FOR STATE REPRESENTATIVE,STATE HOUSE,9,2020.0
MI,ANGELA WITWER,ANGELA WITWER FOR STATE REPRESENTATIVE,STATE HOUSE,71,2020.0
MI,PAUL J. WOJNO,PAUL WOJNO FOR STATE SENATE,STATE SENATE,9,2018.0
MI,DOUGLAS C. WOZNIAK,COMMITTEE TO ELECT DOUGLAS C. WOZNIAK,STATE HOUSE,36,2020.0
MI,TENISHA YANCEY,COMMITTEE TO ELECT TENISHA YANCEY FOR STATE REP DISTRICT 1,STATE HOUSE,1,2020.0
MI,JEFF YAROCH,CTE JEFF YAROCH FOR STATE REP,STATE HOUSE,33,2020.0
MI,STEPHANIE A. YOUNG,STEPHANIE A YOUNG FOR STATE REPRESENTATIVE,STATE HOUSE,8,2020.0
MI,DALE W. ZORN,COMMITTEE TO ELECT DALE W ZORN,STATE SENATE,17,2018.0
MN,JIM ABELER,"ABELER, JIM SENATE COMMITTEE",STATE SENATE,35,2020.0
MN,PATTY ACOMB,"ACOMB, PATTY HOUSE COMMITTEE",STATE HOUSE,44B,2020.0
MN,ESTHER AGBAJE,"AGBAJE, ESTHER HOUSE COMMITTEE",STATE HOUSE,59B,2020.0
MN,SUSAN AKLAND,"AKLAND, D. SUSAN (SUSIE) HOUSE COMMITTEE",STATE HOUSE,19A,2020.0
MN,TONY ALBRIGHT,"ALBRIGHT, TONY HOUSE COMMITTEE",STATE HOUSE,55B,2020.0
MN,BRUCE D. ANDERSON,"ANDERSON, BRUCE D SENATE COMMITTEE",STATE SENATE,29,2020.0
MN,PAUL H. ANDERSON,"ANDERSON, PAUL H HOUSE COMMITTEE",STATE HOUSE,12B,2020.0
MN,JEFF BACKER,"BACKER, JEFF W JR HOUSE COMMITTEE",STATE HOUSE,12A,2020.0
MN,KRISTIN BAHNER,"BAHNER, KRISTIN HOUSE COMMITTEE",STATE HOUSE,34B,2020.0
MN,CALVIN K. BAHR,"BAHR, CALVIN (CAL) K HOUSE COMMITTEE",STATE HOUSE,31B,2020.0
MN,DAVE BAKER,"BAKER, DAVID (DAVE) HOUSE COMMITTEE",STATE HOUSE,17B,2020.0
MN,THOMAS M. BAKK,"BAKK, THOMAS (TOM) M SENATE COMMITTEE",STATE SENATE,3,2020.0
MN,JAMIE BECKER-FINN,"BECKER-FINN, JAMIE HOUSE COMMITTEE",STATE HOUSE,42B,2020.0
MN,PEGGY BENNETT,"BENNETT, PEGGY HOUSE COMMITTEE",STATE HOUSE,27A,2020.0
MN,MICHELLE BENSON,"BENSON, MICHELLE R SENATE COMMITTEE",STATE SENATE,31,2020.0
MN,KAELA BERG,"BERG, KAELA JO HOUSE COMMITTEE",STATE HOUSE,56B,2020.0
MN,CONNIE BERNARDY,"BERNARDY, CONNIE HOUSE COMMITTEE",STATE HOUSE,41A,2020.0
MN,ROBERT BIERMAN,"BIERMAN, ROBERT HOUSE COMMITTEE",STATE HOUSE,57A,2020.0
MN,KARLA BIGHAM,"BIGHAM, KARLA SENATE COMMITTEE",STATE SENATE,54,2020.0
MN,MATT BLISS,"BLISS, MATT HOUSE COMMITTEE",STATE HOUSE,5A,2020.0
MN,GREG BOE,"BOE, GREG HOUSE COMMITTEE",STATE HOUSE,47B,2020.0
MN,LIZ BOLDON,"BOLDON, LIZ HOUSE COMMITTEE",STATE HOUSE,25B,2020.0
MN,JOHN BURKEL,"BURKEL, JOHN HOUSE COMMITTEE",STATE HOUSE,1A,2020.0
MN,HUNTER CANTRELL,"CANTRELL, HUNTER E HOUSE COMMITTEE",STATE HOUSE,56A,2018.0
MN,JIM A. CARLSON,"CARLSON, JAMES A SENATE COMMITTEE",STATE SENATE,51,2020.0
MN,ANDREW CARLSON,"CARLSON, (ROBERT) ANDREW HOUSE COMMITTEE",STATE HOUSE,50B,2020.0
MN,ROGER C. CHAMBERLAIN,"CHAMBERLAIN, ROGER C SENATE COMMITTEE",STATE SENATE,38,2020.0
MN,BOBBY JOE CHAMPION,"CHAMPION, BOBBY JOE SENATE COMMITTEE",STATE SENATE,59,2020.0
MN,MICHELLE CHRISTENSEN,"CHRISTENSEN, SHELLY (MICHELLE) HOUSE COMMITTEE",STATE HOUSE,39B,2020.0
MN,GREGORY D. CLAUSEN,"CLAUSEN, GREGORY D SENATE COMMITTEE",STATE SENATE,57,2020.0
MN,JULIA COLEMAN,"COLEMAN, JULIA SENATE COMMITTEE",STATE SENATE,47,2020.0
MN,STEVE CWODZINSKI,"CWODZINSKI, STEVE SENATE COMMITTEE",STATE SENATE,48,2020.0
MN,GARY DAHMS,"DAHMS, GARY H SENATE COMMITTEE",STATE SENATE,16,2020.0
MN,BRIAN DANIELS,"DANIELS, BRIAN T HOUSE COMMITTEE",STATE HOUSE,24B,2020.0
MN,KURT DAUDT,"DAUDT, KURT HOUSE COMMITTEE",STATE HOUSE,31A,2020.0
MN,GREGORY M. DAVIDS,"DAVIDS, GREGORY M HOUSE COMMITTEE",STATE HOUSE,28B,2020.0
MN,JIM T. DAVNIE,"DAVNIE, JIM HOUSE COMMITTEE",STATE HOUSE,63A,2020.0
MN,LISA DEMUTH,"DEMUTH, LISA HOUSE COMMITTEE",STATE HOUSE,13A,2020.0
MN,ROBERT DETTMER,"DETTMER, BOB P HOUSE COMMITTEE",STATE HOUSE,39A,2020.0
MN,D. DIBBLE,"DIBBLE, D SCOTT SENATE COMMITTEE",STATE SENATE,61,2020.0
MN,GENE DORNINK,"DORNINK, GENE SENATE COMMITTEE",STATE SENATE,27,2020.0
MN,RICH DRAHEIM,"DRAHEIM, RICH SENATE COMMITTEE",STATE SENATE,20,2020.0
MN,STEVE DRAZKOWSKI,"DRAZKOWSKI, STEVEN J HOUSE COMMITTEE",STATE HOUSE,21B,2020.0
MN,ZACH DUCKWORTH,"DUCKWORTH, ZACH SENATE COMMITTEE",STATE SENATE,58,2020.0
MN,KARI DZIEDZIC,"DZIEDZIC, KARI (KAREN) SENATE COMMITTEE",STATE SENATE,60,2020.0
MN,CHRIS A. EATON,"EATON, CHRIS A SENATE COMMITTEE",STATE SENATE,40,2020.0
MN,ROB ECKLUND,"ECKLUND, ROBERT HOUSE COMMITTEE",STATE HOUSE,3A,2020.0
MN,HEATHER EDELSON,"EDELSON, HEATHER M HOUSE COMMITTEE",STATE HOUSE,49A,2020.0
MN,JUSTIN EICHORN,"EICHORN, JUSTIN SENATE COMMITTEE",STATE SENATE,5,2020.0
MN,KENT EKEN,"EKEN, KENT SENATE COMMITTEE",STATE SENATE,4,2020.0
MN,STEVE B. ELKINS,"ELKINS, STEVE HOUSE COMMITTEE",STATE HOUSE,49B,2020.0
MN,SONDRA ERICKSON,"ERICKSON, SONDRA HOUSE COMMITTEE",STATE HOUSE,15A,2020.0
MN,OMAR M. FATEH,"FATEH, OMAR SENATE COMMITTEE",STATE SENATE,62,2020.0
MN,SANDRA FEIST,"FEIST, SANDRA HOUSE COMMITTEE",STATE HOUSE,41B,2020.0
MN,PETER M. FISCHER,"FISCHER, PETER M HOUSE COMMITTEE",STATE HOUSE,43A,2020.0
MN,PEGGY FLANAGAN,NOT FOUND,LIEUTENANT GOVERNOR,,2018.0
MN,KEITH FRANKE,"FRANKE, KEITH J HOUSE COMMITTEE",STATE HOUSE,54A,2020.0
MN,MARY FRANSON,"FRANSON, MARY D HOUSE COMMITTEE",STATE HOUSE,8B,2020.0
MN,MELISA FRANZEN,"FRANZEN, MELISA LOPEZ SENATE COMMITTEE",STATE SENATE,49,2020.0
MN,CEDRICK ROMMEL FRAZIER,"FRAZIER, CEDRICK R HOUSE COMMITTEE",STATE HOUSE,45A,2020.0
MN,LUKE FREDERICK,"FREDERICK, LUKE HOUSE COMMITTEE",STATE HOUSE,19B,2020.0
MN,MIKE FREIBERG,"FREIBERG, MIKE HOUSE COMMITTEE",STATE HOUSE,45B,2020.0
MN,NICK FRENTZ,"FRENTZ, NICK ANDREW SENATE COMMITTEE",STATE SENATE,19,2020.0
MN,PATRICK GAROFALO,"GAROFALO, PATRICK HOUSE COMMITTEE",STATE HOUSE,58B,2020.0
MN,PAUL GAZELKA,"GAZELKA, PAUL SENATE COMMITTEE",STATE SENATE,9,2020.0
MN,MICHAEL P. GOGGIN,"GOGGIN, MICHAEL P SENATE COMMITTEE",STATE SENATE,21,2020.0
MN,AISHA GOMEZ,"GOMEZ, AISHA HOUSE COMMITTEE",STATE HOUSE,62B,2020.0
MN,STEVE GREEN,"GREEN, STEVE HOUSE COMMITTEE",STATE HOUSE,2B,2020.0
MN,EMMA GREENMAN,"GREENMAN, EMMA HOUSE COMMITTEE",STATE HOUSE,63B,2020.0
MN,MATTHEW J. GROSSELL,"GROSSELL, MATTHEW (MATT) J HOUSE COMMITTEE",STATE HOUSE,2A,2020.0
MN,GLENN H. GRUENHAGEN,"GRUENHAGEN, GLENN H HOUSE COMMITTEE",STATE HOUSE,18B,2020.0
MN,BARB HALEY,"HALEY, BARBARA ANN MAY HOUSE COMMITTEE",STATE HOUSE,21A,2020.0
MN,ROD HAMILTON,"HAMILTON, ROD HOUSE COMMITTEE",STATE HOUSE,22B,2020.0
MN,RICHARD HANSEN,"HANSEN, RICHARD (RICK) J HOUSE COMMITTEE",STATE HOUSE,52A,2020.0
MN,JESSICA HANSON,"HANSON, JESSICA HOUSE COMMITTEE",STATE HOUSE,56A,2020.0
MN,HODAN HASSAN,"HASSAN, HODAN HOUSE COMMITTEE",STATE HOUSE,62A,2020.0
MN,ALICE HAUSMAN,"HAUSMAN, ALICE HOUSE COMMITTEE",STATE HOUSE,66A,2020.0
MN,FOUNG HAWJ,"HAWJ, FOUNG SENATE COMMITTEE",STATE SENATE,67,2020.0
MN,JOHN HEINRICH,"HEINRICH, JOHN HOUSE COMMITTEE",STATE HOUSE,35A,2020.0
MN,JOSHUA HEINTZEMAN,"HEINTZEMAN, JOSHUA HOUSE COMMITTEE",STATE HOUSE,10A,2020.0
MN,KAOHLY HER,"HER, KAOHLY HOUSE COMMITTEE",STATE HOUSE,64A,2020.0
MN,JERRY HERTAUS,"HERTAUS, JEROME ALLAN (JERRY) HOUSE COMMITTEE",STATE HOUSE,33A,2020.0
MN,JOHN A. HOFFMAN,"HOFFMAN, JOHN A SENATE COMMITTEE",STATE SENATE,36,2020.0
MN,ATHENA HOLLINS,"HOLLINS, ATHENA HOUSE COMMITTEE",STATE HOUSE,66B,2020.0
MN,FRANK D. HORNSTEIN,"HORNSTEIN, FRANK HOUSE COMMITTEE",STATE HOUSE,61A,2020.0
MN,MELISSA HORTMAN,"HORTMAN, MELISSA A HOUSE COMMITTEE",STATE HOUSE,36B,2020.0
MN,KARIN HOUSLEY,"HOUSLEY, KARIN SENATE COMMITTEE",STATE SENATE,39,2020.0
MN,MICHAEL HOWARD,"HOWARD, MICHAEL HOUSE COMMITTEE",STATE HOUSE,50A,2020.0
MN,JEFF HOWE,"HOWE, JEFF SENATE COMMITTEE",STATE SENATE,13,2020.0
MN,JOHN HUOT,"HUOT, JOHN DUFFY HOUSE COMMITTEE",STATE HOUSE,57B,2020.0
MN,SPENCER IGO,"IGO, SPENCER HOUSE COMMITTEE",STATE HOUSE,5B,2020.0
MN,BILL G. INGEBRIGTSEN,"INGEBRIGTSEN, WILLIAM (BILL) G SENATE COMMITTEE",STATE SENATE,8,2020.0
MN,JASON ISAACSON,"ISAACSON, JASON (IKE) SENATE COMMITTEE",STATE SENATE,42,2020.0
MN,JOHN JASINSKI,"JASINSKI, JOHN R SENATE COMMITTEE",STATE SENATE,24,2020.0
MN,BRIAN JOHNSON,"JOHNSON, BRIAN L HOUSE COMMITTEE",STATE HOUSE,32A,2020.0
MN,MARK JOHNSON,"JOHNSON, MARK TIMOTHY SENATE COMMITTEE",STATE SENATE,1,2020.0
MN,SYDNEY JORDAN,"JORDAN, SYDNEY HOUSE COMMITTEE",STATE HOUSE,60A,2020.0
MN,TONY JURGENS,"JURGENS, TONY HOUSE COMMITTEE",STATE HOUSE,54B,2020.0
MN,HEATHER KEELER,"KEELER, HEATHER M HOUSE COMMITTEE",STATE HOUSE,4A,2020.0
MN,SUSAN L. KENT,"KENT, SUSAN SENATE COMMITTEE",STATE SENATE,53,2020.0
MN,DEBRA KIEL,"KIEL, DEBRA (DEB) L HOUSE COMMITTEE",STATE HOUSE,1B,2020.0
MN,MARY E. KIFFMEYER,"KIFFMEYER, MARY SENATE COMMITTEE",STATE SENATE,30,2020.0
MN,MATT D. KLEIN,"KLEIN, MATTHEW D SENATE COMMITTEE",STATE SENATE,52,2020.0
MN,GINNY KLEVORN,"KLEVORN, VIRGINIA (GINNY) HOUSE COMMITTEE",STATE HOUSE,44A,2020.0
MN,ERIN KOEGEL,"KOEGEL, ERIN HOUSE COMMITTEE",STATE HOUSE,37A,2020.0
MN,MARK KORAN,"KORAN, MARK WILLIAM SENATE COMMITTEE",STATE SENATE,32,2020.0
MN,CARLIE KOTYZA-WITTHUHN,"KOTYZA-WITTHUHN, CARLIE HOUSE COMMITTEE",STATE HOUSE,48B,2020.0
MN,JON KOZNICK,"KOZNICK, JON HOUSE COMMITTEE",STATE HOUSE,58A,2020.0
MN,RON KRESHA,"KRESHA, RONALD HOUSE COMMITTEE",STATE HOUSE,9B,2020.0
MN,MARY KUNESH-PODEIN,"KUNESH-PODEIN, MARY SENATE COMMITTEE",STATE SENATE,41,2020.0
MN,ANDREW LANG,"LANG, ANDREW R SENATE COMMITTEE",STATE SENATE,17,2020.0
MN,RONALD STEVEN LATZ,"LATZ, RONALD S SENATE COMMITTEE",STATE SENATE,46,2020.0
MN,FUE LEE,"LEE, FUE HOUSE COMMITTEE",STATE HOUSE,59A,2020.0
MN,TINA LIEBLING,"LIEBLING, TINA HOUSE COMMITTEE",STATE HOUSE,26A,2020.0
MN,LEON M. LILLIE,"LILLIE, LEON MICHAEL HOUSE COMMITTEE",STATE HOUSE,43B,2020.0
MN,WARREN LIMMER,"LIMMER, WARREN SENATE COMMITTEE",STATE SENATE,34,2020.0
MN,TODD LIPPERT,"LIPPERT, TODD HOUSE COMMITTEE",STATE HOUSE,20B,2020.0
MN,DAVE LISLEGARD,"LISLEGARD, DAVID HOUSE COMMITTEE",STATE HOUSE,6B,2020.0
MN,JAMIE LONG,"LONG, JAMES (JAMIE) HOUSE COMMITTEE",STATE HOUSE,61B,2020.0
MN,ERIC LUCERO,"LUCERO, ERIC HOUSE COMMITTEE",STATE HOUSE,30B,2020.0
MN,DALE KEITH LUECK,"LUECK, DALE K HOUSE COMMITTEE",STATE HOUSE,10B,2020.0
MN,CARLOS MARIANI,"MARIANI, CARLOS HOUSE COMMITTEE",STATE HOUSE,65B,2020.0
MN,PAUL A. MARQUART,"MARQUART, PAUL HOUSE COMMITTEE",STATE HOUSE,4B,2020.0
MN,JOHN MARTY,"MARTY, JOHN J SENATE COMMITTEE",STATE SENATE,66,2020.0
MN,SANDRA A. MASIN,"MASIN, SANDRA A HOUSE COMMITTEE",STATE HOUSE,51A,2020.0
MN,ANDREW MATHEWS,"MATHEWS, ANDREW SENATE COMMITTEE",STATE SENATE,15,2020.0
MN,JOE MCDONALD,"MCDONALD, JOSEPH (JOE) HOUSE COMMITTEE",STATE HOUSE,29A,2020.0
MN,JEN MCEWEN,"MCEWEN, JEN SENATE COMMITTEE",STATE SENATE,7,2020.0
MN,SHANE MEKELAND,"MEKELAND, SHANE D HOUSE COMMITTEE",STATE HOUSE,15B,2020.0
MN,JEREMY MILLER,"MILLER, JEREMY SENATE COMMITTEE",STATE SENATE,28,2020.0
MN,TIM MILLER,"MILLER, TIM A HOUSE COMMITTEE",STATE HOUSE,17A,2020.0
MN,KELLY MOLLER,"MOLLER, KELLY HOUSE COMMITTEE",STATE HOUSE,42A,2020.0
MN,RENA MORAN,"MORAN, RENA L HOUSE COMMITTEE",STATE HOUSE,65A,2020.0
MN,KELLY MORRISON,"MORRISON, KELLY HOUSE COMMITTEE",STATE HOUSE,33B,2020.0
MN,ERIK MORTENSEN,"MORTENSEN, ERIK HOUSE COMMITTEE",STATE HOUSE,55A,2020.0
MN,PATRICIA MUELLER,"MUELLER, PATRICIA K HOUSE COMMITTEE",STATE HOUSE,27B,2020.0
MN,JEREMY MUNSON,"MUNSON, JEREMY HOUSE COMMITTEE",STATE HOUSE,23B,2020.0
MN,MARY MURPHY,"MURPHY, MARY C HOUSE COMMITTEE",STATE HOUSE,3B,2020.0
MN,ERIN MURPHY,"MURPHY, ERIN SENATE COMMITTEE",STATE SENATE,64,2020.0
MN,JIM NASH,"NASH, JIM HOUSE COMMITTEE",STATE HOUSE,47A,2020.0
MN,CARLA NELSON,"NELSON, CARLA J SENATE COMMITTEE",STATE SENATE,26,2020.0
MN,MICHAEL V. NELSON,"NELSON, MICHAEL V HOUSE COMMITTEE",STATE HOUSE,40A,2020.0
MN,NATHAN NELSON,"NELSON, NATHAN D HOUSE COMMITTEE",STATE HOUSE,11B,2020.0
MN,ANNE E. NEU,"NEU, ANNE HOUSE COMMITTEE",STATE HOUSE,32B,2020.0
MN,SCOTT NEWMAN,"NEWMAN, SCOTT J SENATE COMMITTEE",STATE SENATE,18,2020.0
MN,GERALD F. NEWTON,NOT FOUND,STATE SENATE,37,2020.0
MN,MOHAMUD NOOR,"NOOR, MOHAMUD HOUSE COMMITTEE",STATE HOUSE,60B,2020.0
MN,PAUL NOVOTNY,"NOVOTNY, PAUL HOUSE COMMITTEE",STATE HOUSE,30A,2020.0
MN,TIM O'DRISCOLL,"ODRISCOLL, TIM HOUSE COMMITTEE",STATE HOUSE,13B,2020.0
MN,LIZ OLSON,"OLSON, ELIZABETH (LIZ) HOUSE COMMITTEE",STATE HOUSE,7B,2020.0
MN,BJORN OLSON,"OLSON, CHRISTIAN BJORN HOUSE COMMITTEE",STATE HOUSE,23A,2020.0
MN,MARION O'NEILL,"ONEILL, MARION OLIVIA HOUSE COMMITTEE",STATE HOUSE,29B,2020.0
MN,DAVID OSMEK,"OSMEK, DAVID SENATE COMMITTEE",STATE SENATE,33,2020.0
MN,SANDRA L. PAPPAS,"PAPPAS, SANDRA L SENATE COMMITTEE",STATE SENATE,65,2020.0
MN,GENE PELOWSKI,"PELOWSKI JR, GENE P HOUSE COMMITTEE",STATE HOUSE,28A,2020.0
MN,JOHN PETERSBURG,"PETERSBURG, JOHN HOUSE COMMITTEE",STATE HOUSE,24A,2020.0
MN,BRIAN PFARR,"PFARR, BRIAN H HOUSE COMMITTEE",STATE HOUSE,20A,2020.0
MN,NELS T. PIERSON,"PIERSON, NELS T III HOUSE COMMITTEE",STATE HOUSE,26B,2020.0
MN,DAVE PINTO,"PINTO, DAVID P HOUSE COMMITTEE",STATE HOUSE,64B,2020.0
MN,LINDSEY PORT,"PORT, LINDSEY SENATE COMMITTEE",STATE SENATE,56,2020.0
MN,JOHN M. POSTON,"POSTON, JOHN M HOUSE COMMITTEE",STATE HOUSE,9A,2020.0
MN,ERIC R. PRATT,"PRATT, ERIC SENATE COMMITTEE",STATE SENATE,55,2020.0
MN,LAURIE PRYOR,"PRYOR, LAURIE HOUSE COMMITTEE",STATE HOUSE,48A,2020.0
MN,ARIC PUTNAM,"PUTNAM, ARIC SENATE COMMITTEE",STATE SENATE,14,2020.0
MN,DUANE QUAM,"QUAM, DUANE R JR HOUSE COMMITTEE",STATE HOUSE,25A,2020.0
MN,DONALD RALEIGH,"RALEIGH, DONALD HOUSE COMMITTEE",STATE HOUSE,38A,2020.0
MN,JASON RARICK,"RARICK, JASON SENATE COMMITTEE",STATE SENATE,11,2020.0
MN,JORDAN RASMUSSON,"RASMUSSON, JORDAN HOUSE COMMITTEE",STATE HOUSE,8A,2020.0
MN,ANN H. REST,"REST, ANN H SENATE COMMITTEE",STATE SENATE,45,2020.0
MN,LIZ REYER,"REYER, LIZABETH HOUSE COMMITTEE",STATE HOUSE,51B,2020.0
MN,RUTH RICHARDSON,"RICHARDSON, RUTH HOUSE COMMITTEE",STATE HOUSE,52B,2020.0
MN,KRISTIN ROBBINS,"ROBBINS, KRISTIN HOUSE COMMITTEE",STATE HOUSE,34A,2020.0
MN,JULIE A. ROSEN,"ROSEN, JULIE A SENATE COMMITTEE",STATE SENATE,23,2020.0
MN,CARRIE L. RUUD,"RUUD, CARRIE SENATE COMMITTEE",STATE SENATE,10,2020.0
MN,STEVE P. SANDELL,"SANDELL, STEPHEN (STEVE) HOUSE COMMITTEE",STATE HOUSE,53B,2020.0
MN,JULIE SANDSTEDE,"SANDSTEDE, JULIE HOUSE COMMITTEE",STATE HOUSE,6A,2020.0
MN,JOE ROY SCHOMACKER,"SCHOMACKER, JOE HOUSE COMMITTEE",STATE HOUSE,22A,2020.0
MN,JENNIFER SCHULTZ,"SCHULTZ, JENNIFER HOUSE COMMITTEE",STATE HOUSE,7A,2020.0
MN,PEGGY SCOTT,"SCOTT, PEGGY SUE HOUSE COMMITTEE",STATE HOUSE,35B,2020.0
MN,DAVID H. SENJEM,"SENJEM, DAVID H SENATE COMMITTEE",STATE SENATE,25,2020.0
MN,ZACK STEPHENSON,"STEPHENSON, ZACHARY HOUSE COMMITTEE",STATE HOUSE,36A,2020.0
MN,ANN JOHNSON STEWART,"STEWART, ANN JOHNSON SENATE COMMITTEE",STATE SENATE,44,2020.0
MN,MIKE SUNDIN,"SUNDIN, MIKE HOUSE COMMITTEE",STATE HOUSE,11A,2020.0
MN,CHRIS SWEDZINSKI,"SWEDZINSKI, CHRISTOPHER T HOUSE COMMITTEE",STATE HOUSE,16A,2020.0
MN,BRAD TABKE,"TABKE, BRAD HOUSE COMMITTEE",STATE HOUSE,55A,2020.0
MN,TAMA THEIS,"THEIS, TAMA L HOUSE COMMITTEE",STATE HOUSE,14A,2020.0
MN,JOHN THOMPSON,"THOMPSON, JOHN D HOUSE COMMITTEE",STATE HOUSE,67A,2020.0
MN,DAVID J. TOMASSONI,"TOMASSONI, DAVID J SENATE COMMITTEE",STATE SENATE,6,2020.0
MN,PAUL TORKELSON,"TORKELSON, PAUL M HOUSE COMMITTEE",STATE HOUSE,16B,2020.0
MN,PATRICIA TORRES RAY,"RAY, PATRICIA TORRES SENATE COMMITTEE",STATE SENATE,63,2020.0
MN,DEAN URDAHL,"URDAHL, DEAN L HOUSE COMMITTEE",STATE HOUSE,18A,2020.0
MN,PAUL UTKE,"UTKE, PAUL J SENATE COMMITTEE",STATE SENATE,2,2020.0
MN,SAMANTHA VANG,"VANG, SAMANTHA HOUSE COMMITTEE",STATE HOUSE,40B,2020.0
MN,TIMOTHY J. WALZ,"WALZ, TIM GOV COMMITTEE",GOVERNOR,,2018.0
MN,AMI WAZLAWIK,"WAZLAWIK, AMI HOUSE COMMITTEE",STATE HOUSE,38B,2020.0
MN,BILL WEBER,"WEBER, BILL SENATE COMMITTEE",STATE SENATE,22,2020.0
MN,NOLAN WEST,"WEST, NOLAN HOUSE COMMITTEE",STATE HOUSE,37B,2020.0
MN,TORREY N. WESTROM,"WESTROM, TORREY N SENATE COMMITTEE",STATE SENATE,12,2020.0
MN,CHARLES W. WIGER,"WIGER, CHARLES (CHUCK) W SENATE COMMITTEE",STATE SENATE,43,2020.0
MN,MELISSA HALVORSON WIKLUND,"WIKLUND, MELISSA HALVORSON SENATE COMMITTEE",STATE SENATE,50,2020.0
MN,RYAN WINKLER,"WINKLER, RYAN P HOUSE COMMITTEE",STATE HOUSE,46A,2020.0
MN,DAN WOLGAMOTT,"WOLGAMOTT, DAN HOUSE COMMITTEE",STATE HOUSE,14B,2020.0
MN,TOU XIONG,"XIONG, TOU HOUSE COMMITTEE",STATE HOUSE,53A,2020.0
MN,JAY XIONG,"XIONG, JAY HOUSE COMMITTEE",STATE HOUSE,67B,2020.0
MN,CHERYL YOUAKIM,"YOUAKIM, CHERYL HOUSE COMMITTEE",STATE HOUSE,46B,2020.0
